VariablesInteres,VariablesCondicionadas,VariablesMarginalizadas,TiempoEjecucion(us),EstadosEvaluados
3,1,16,29198.74,1048576
3,1,16,39017.69,1048576
3,1,16,28122.10,1048576
3,1,16,28706.52,1048576
3,1,16,39035.89,1048576
3,1,16,32400.42,1048576
3,1,16,42756.89,1048576
3,2,15,20267.28,1048576
3,2,15,20812.08,1048576
3,2,15,14558.41,1048576
3,2,15,16539.19,1048576
3,2,15,21320.03,1048576
3,2,15,16209.99,1048576
3,2,15,21721.72,1048576
3,2,15,24876.53,1048576
3,2,15,15416.79,1048576
3,2,15,15491.56,1048576
3,2,15,15904.36,1048576
3,2,15,17009.85,1048576
3,2,15,17990.93,1048576
3,2,15,21148.48,1048576
3,2,15,14386.77,1048576
3,2,15,21816.54,1048576
3,2,15,21322.07,1048576
3,2,15,17902.99,1048576
3,2,15,16264.56,1048576
3,2,15,21629.99,1048576
3,3,14,10034.47,1048576
3,3,14,8412.99,1048576
3,3,14,10688.31,1048576
3,3,14,10606.88,1048576
3,3,14,8094.19,1048576
3,3,14,7846.05,1048576
3,3,14,9518.55,1048576
3,3,14,10460.55,1048576
3,3,14,9740.84,1048576
3,3,14,7939.93,1048576
3,3,14,12272.03,1048576
3,3,14,10769.91,1048576
3,3,14,10553.75,1048576
3,3,14,8658.12,1048576
3,3,14,9706.04,1048576
3,3,14,10587.26,1048576
3,3,14,8779.70,1048576
3,3,14,12908.05,1048576
3,3,14,8116.89,1048576
3,3,14,9145.27,1048576
3,4,13,4446.81,1048576
3,4,13,5243.63,1048576
3,4,13,6643.53,1048576
3,4,13,5161.81,1048576
3,4,13,6694.53,1048576
3,4,13,5849.84,1048576
3,4,13,6049.22,1048576
3,4,13,4196.20,1048576
3,4,13,6058.98,1048576
3,4,13,6576.43,1048576
3,4,13,4852.44,1048576
3,4,13,4860.15,1048576
3,4,13,6829.42,1048576
3,4,13,6854.53,1048576
3,4,13,6968.18,1048576
3,4,13,5399.27,1048576
3,4,13,5304.76,1048576
3,4,13,4698.89,1048576
3,4,13,5683.94,1048576
3,4,13,6306.25,1048576
3,5,12,3419.81,1048576
3,5,12,2868.05,1048576
3,5,12,3151.39,1048576
3,5,12,3261.32,1048576
3,5,12,3556.25,1048576
3,5,12,2851.21,1048576
3,5,12,3827.05,1048576
3,5,12,3444.25,1048576
3,5,12,3051.29,1048576
3,5,12,4014.47,1048576
3,5,12,3135.38,1048576
3,5,12,3273.97,1048576
3,5,12,3789.66,1048576
3,5,12,3330.61,1048576
3,5,12,3148.91,1048576
3,5,12,2705.29,1048576
3,5,12,3776.87,1048576
3,5,12,4129.53,1048576
3,5,12,3691.82,1048576
3,5,12,3445.62,1048576
3,6,11,1984.79,1048576
3,6,11,2550.73,1048576
3,6,11,2336.80,1048576
3,6,11,2595.90,1048576
3,6,11,2730.66,1048576
3,6,11,2082.63,1048576
3,6,11,1860.81,1048576
3,6,11,1980.58,1048576
3,6,11,1909.87,1048576
3,6,11,1974.24,1048576
3,6,11,2746.05,1048576
3,6,11,2172.47,1048576
3,6,11,2284.11,1048576
3,6,11,2370.06,1048576
3,6,11,2317.88,1048576
3,6,11,2246.11,1048576
3,6,11,1977.21,1048576
3,6,11,2140.41,1048576
3,6,11,2206.89,1048576
3,6,11,1843.39,1048576
3,7,10,1477.85,1048576
3,7,10,1743.95,1048576
3,7,10,1703.14,1048576
3,7,10,1722.57,1048576
3,7,10,1469.96,1048576
3,7,10,1702.69,1048576
3,7,10,1740.56,1048576
3,7,10,1550.99,1048576
3,7,10,1518.98,1048576
3,7,10,1769.93,1048576
3,7,10,1503.36,1048576
3,7,10,1561.39,1048576
3,7,10,1563.69,1048576
3,7,10,1717.23,1048576
3,7,10,1494.25,1048576
3,7,10,1707.12,1048576
3,7,10,1569.09,1048576
3,7,10,1742.67,1048576
3,7,10,1604.44,1048576
3,7,10,1556.23,1048576
3,8,9,1327.76,1048576
3,8,9,1349.59,1048576
3,8,9,1265.96,1048576
3,8,9,1316.20,1048576
3,8,9,1360.57,1048576
3,8,9,1327.88,1048576
3,8,9,1255.13,1048576
3,8,9,1305.89,1048576
3,8,9,1271.70,1048576
3,8,9,1444.25,1048576
3,8,9,1213.17,1048576
3,8,9,1301.86,1048576
3,8,9,1296.67,1048576
3,8,9,1368.17,1048576
3,8,9,1378.37,1048576
3,8,9,1417.85,1048576
3,8,9,1257.42,1048576
3,8,9,1239.28,1048576
3,8,9,1376.26,1048576
3,8,9,1388.37,1048576
4,0,16,77993.57,1048576
4,0,16,84022.73,1048576
4,0,16,83877.84,1048576
4,0,16,86989.01,1048576
4,0,16,71491.56,1048576
4,0,16,77713.62,1048576
4,0,16,70260.34,1048576
4,0,16,94416.42,1048576
4,0,16,71158.50,1048576
4,0,16,62408.51,1048576
4,0,16,63770.26,1048576
4,0,16,74334.75,1048576
4,0,16,60428.27,1048576
4,0,16,64150.41,1048576
4,0,16,80893.70,1048576
4,0,16,78562.02,1048576
4,0,16,74681.77,1048576
4,0,16,85253.22,1048576
4,0,16,63704.32,1048576
4,0,16,80366.29,1048576
4,1,15,39603.62,1048576
4,1,15,27213.44,1048576
4,1,15,34405.17,1048576
4,1,15,40123.93,1048576
4,1,15,44701.73,1048576
4,1,15,35424.15,1048576
4,1,15,30153.70,1048576
4,1,15,37667.88,1048576
4,1,15,36544.09,1048576
4,1,15,45500.54,1048576
4,1,15,36596.17,1048576
4,1,15,29982.51,1048576
4,1,15,42141.54,1048576
4,1,15,38381.94,1048576
4,1,15,41374.55,1048576
4,1,15,39686.60,1048576
4,1,15,44706.58,1048576
4,1,15,44548.01,1048576
4,1,15,39880.26,1048576
4,1,15,35880.82,1048576
4,2,14,18930.92,1048576
4,2,14,17960.76,1048576
4,2,14,20547.42,1048576
4,2,14,22269.88,1048576
4,2,14,15773.25,1048576
4,2,14,21490.41,1048576
4,2,14,22971.90,1048576
4,2,14,17743.83,1048576
4,2,14,24766.81,1048576
4,2,14,17366.74,1048576
4,2,14,19358.03,1048576
4,2,14,17040.68,1048576
4,2,14,21335.41,1048576
4,2,14,22102.61,1048576
4,2,14,19631.65,1048576
4,2,14,17462.95,1048576
4,2,14,24567.51,1048576
4,2,14,26742.84,1048576
4,2,14,23179.06,1048576
4,2,14,16654.04,1048576
4,3,13,11865.88,1048576
4,3,13,10705.08,1048576
4,3,13,9798.54,1048576
4,3,13,12880.34,1048576
4,3,13,8372.75,1048576
4,3,13,8475.60,1048576
4,3,13,9307.26,1048576
4,3,13,10798.76,1048576
4,3,13,10018.69,1048576
4,3,13,8307.26,1048576
4,3,13,8465.23,1048576
4,3,13,8896.18,1048576
4,3,13,8713.76,1048576
4,3,13,9336.72,1048576
4,3,13,9474.94,1048576
4,3,13,8869.86,1048576
4,3,13,9418.01,1048576
4,3,13,11201.86,1048576
4,3,13,8830.14,1048576
4,3,13,10555.51,1048576
4,4,12,6360.22,1048576
4,4,12,6049.44,1048576
4,4,12,5837.39,1048576
4,4,12,5214.64,1048576
4,4,12,4994.12,1048576
4,4,12,5217.28,1048576
4,4,12,5836.01,1048576
4,4,12,6697.11,1048576
4,4,12,6468.29,1048576
4,4,12,5688.43,1048576
4,4,12,4600.81,1048576
4,4,12,6201.49,1048576
4,4,12,5070.30,1048576
4,4,12,5128.42,1048576
4,4,12,5294.36,1048576
4,4,12,6607.72,1048576
4,4,12,6028.56,1048576
4,4,12,5980.46,1048576
4,4,12,6179.10,1048576
4,4,12,6317.23,1048576
4,5,11,4334.29,1048576
4,5,11,3968.77,1048576
4,5,11,3889.02,1048576
4,5,11,3329.63,1048576
4,5,11,3361.06,1048576
4,5,11,3249.76,1048576
4,5,11,3519.31,1048576
4,5,11,2836.12,1048576
4,5,11,3733.34,1048576
4,5,11,3011.97,1048576
4,5,11,3760.36,1048576
4,5,11,3200.58,1048576
